"Player","Position","Salary","Length.of.Contract","Age","GS","MP","FG","X3P.","X2P","FT","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","USG","ORtg","DRtg","OWS","DWS","WS"
"Goran Dragic","Guard",7500,4,25,28,26.5,0.462,0.337,0.525,0.805,2.5,5.3,1.3,0.2,2.4,2.5,11.7,18,0.567,21.8,111,106,3.6,1.5,5.1
"Channing Frye","Center",5200,5,26,41,27,0.451,0.439,0.466,0.81,5.3,1.4,0.8,0.9,0.9,3.2,11.2,15,0.598,16.7,120,108,4.3,2.2,6.4
"Gerald Green","Forward",3500,3,26,2,25.2,0.481,0.391,0.529,0.754,3.5,1.1,0.9,0.5,1.8,2.6,12.9,15.8,0.574,23.6,103,109,0.8,0.4,1.2
"Kobe Bryant","Guard",25244,3,32,82,33.9,0.451,0.323,0.487,0.828,5.1,4.7,1.2,0.1,3,2.1,25.3,23.9,0.548,35.1,111,105,6.8,3.5,10.3
"Pau Gasol","Center",18714,3,30,82,37,0.529,0.333,0.53,0.823,10.2,3.3,0.6,1.6,1.7,2.5,18.8,23.3,0.589,21.8,123,103,10,4.7,14.7
"Steve Nash","Guard",8900,3,37,62,31.6,0.532,0.39,0.58,0.894,3,10.7,0.6,0.1,3.7,0.9,12.5,20.3,0.625,19.6,115,110,5.2,0.6,5.9
"Steve Blake","Guard",4000,4,29,38,27,0.416,0.395,0.443,0.75,2.3,4.8,0.7,0.1,1.6,1.5,7.3,11.6,0.539,14.5,108,111,1.9,1.4,3.3
"Jordan Hill","Center",3500,2,24,8,14.1,0.497,0,0.506,0.638,4.8,0.4,0.4,0.7,0.8,1.8,5,15.8,0.522,17.9,105,101,0.5,0.8,1.4
"Chris Kaman","Center",3183,1,30,52,20.7,0.507,0,0.508,0.788,5.6,0.8,0.4,0.8,1.6,2.1,10.5,16.3,0.529,25.3,98,105,0,1.6,1.6
"Jodie Meeks","Guard",1500,2,24,50,24.9,0.409,0.365,0.468,0.906,2.4,0.8,0.6,0,0.4,1.2,8.4,11.5,0.551,15.2,111,103,2.1,2,4.1
"Nick Young","Guard",1107,2,27,17,23.9,0.413,0.357,0.449,0.82,2.2,1.4,0.6,0.2,0.8,1.4,10.6,13.3,0.525,21.2,105,109,1.4,1,2.3
"Jordan Farmar","Guard",1107,1,25,5,21.3,0.467,0.44,0.484,0.905,1.6,3.3,0.6,0.1,1.7,1.3,10.4,17.4,0.592,22.6,111,113,1.8,0,1.8
"Wesley Johnson","Forward",916,1,25,21,19.1,0.407,0.323,0.461,0.771,2.5,0.7,0.4,0.4,1,1.1,8,10.3,0.485,21.4,93,110,-0.5,0.5,0
"Shawne Williams","Forward",1107,1,25,6,20.6,0.286,0.241,0.35,0.727,2.7,0.6,0.4,0.4,0.5,1.8,4.5,4.9,0.372,14.7,84,112,-0.5,0.1,-0.4
"Robert Sacre","Center",789,3,23,3,6.3,0.375,0,0.375,0.636,1.1,0.2,0,0.3,0.3,1.2,1.3,3.4,0.407,13.8,83,108,-0.2,0.1,-0.1
"Marcus Thornton","Guard",7000,4,23,23,24.3,0.434,0.367,0.462,0.788,3.5,1.8,0.9,0.1,1.3,1.5,12.8,17.4,0.544,23.4,111,112,3.7,0.1,3.8
"John Salmons","Guard",8000,5,30,56,34.9,0.441,0.382,0.468,0.83,3.3,2.8,1.2,0.3,1.5,2,15.4,14.7,0.553,19.9,110,106,3.7,3.4,7.1
"Carl Landry","Forward",6500,4,29,2,23.2,0.54,0.333,0.541,0.817,6,0.8,0.4,0.4,1.4,2.3,10.8,17.5,0.605,20,116,106,4.3,1.9,6.2
"Chuck Hayes","Center",5250,4,27,63,28.1,0.527,0,0.529,0.662,8.1,2.7,1.1,0.7,1.2,2.7,7.9,16.2,0.554,13,120,106,3.9,2.4,6.3
"Jason Thompson","Forward",5250,5,25,47,25.9,0.535,0,0.537,0.602,6.9,1.2,0.7,0.7,1.1,2.3,9.1,16.4,0.558,15.5,115,109,3.1,0.8,3.9
"Travis Outlaw","Forward",3000,4,26,55,28.8,0.375,0.302,0.413,0.772,4,1,0.4,0.4,0.9,1.8,9.2,8.8,0.469,17.3,97,112,-0.4,1.2,0.8
"Hamady N'Diaye","Center",884,1,24,0,5,0.8,0,0.8,0.5,0.4,0,0.1,0.3,0.2,1.1,0.9,5.3,0.681,7.3,107,111,0,0,0.1
"LaMarcus Aldridge","Forward",10744,5,24,78,37.5,0.495,0.313,0.498,0.757,8,2.1,0.9,0.6,1.3,3,17.9,18.2,0.535,22.9,113,107,5.5,3.3,8.8
"Nicolas Batum","Forward",10450,4,23,34,30.4,0.451,0.391,0.496,0.836,4.6,1.4,1,1,1.5,1.8,13.9,17.3,0.575,20.5,112,107,3.3,1.4,4.8
"Wesley Matthews","Guard",4627,5,23,48,24.7,0.483,0.382,0.525,0.829,2.3,1.5,0.8,0.2,1.1,1.9,9.4,12.3,0.592,16.5,113,108,2.6,1.9,4.6
"Robin Lopez","Center",4899,3,23,0,14,0.461,0,0.461,0.714,3.3,0.3,0.3,0.9,0.7,2,5.4,15.2,0.526,18.9,108,105,1.2,0.9,2.1
"Dorell Wright","Forward",3000,2,27,8,22.6,0.396,0.374,0.429,0.851,3.8,1.9,0.8,0.4,0.8,1.2,9.2,16,0.551,18.7,112,105,2.8,2.1,4.9
